interface_area	number_of_contacts	number_of_screens	uniprot_ac_a	uniprot_ac_b
808.5825195310001	53	3	Q13618	Q14145
1076.94775391	74	7	Q96B26	Q9NQT4
1017.61401367	66	2	P26196	Q9NRA8
3323.52929688	219	3	P49354	P49356
1432.43457031	95	2	O14818	P25789
1009.64599609	56	1	P48059	Q13418
590.2678222659999	33	2	P62979	Q9UMX0
674.7966308590001	45	2	P45983	Q9BY84
808.9604492189999	45	2	O14893	P62306
763.097900391	46	7	P62306	P62316
325.259277344	18	3	O75340	Q9Y5Z4
1291.01660156	59	2	P63172	Q13409
590.2678222659999	33	1	P62987	Q9UMX0
743.0981445310001	41	1	P62987	Q9UJ41
376.648925781	20	2	P54725	P62987
400.49121093800005	18	2	Q7Z3B4	Q9BVL2
1233.65478516	78	3	Q7Z6L1	Q9H1Y0
1612.38256836	76	3	Q9NV56	Q9UBU8
1169.50512695	55	4	P26368	Q15637
729.827758789	46	3	Q96AE4	Q9UHX1
1495.75634766	93	3	P0DP23	Q9H095
894.353759766	52	3	Q6ZYL4	Q92759
704.329528809	38	1	O75928	P63165
1162.59936523	82	4	P63165	Q9P0U3
661.72442627	40	3	P11474	Q9UBK2
2992.89648438	184	1	P84243	Q9UER7
798.303710938	44	1	O00167	Q15475
461.778747559	26	1	Q13191	Q96B97
1201.63476562	72	2	P08754	P81274
2296.22998047	133	3	O60573	O75420
817.6323242189999	43	5	Q96H20	Q9BRG1
2209.81005859	125	4	Q86VN1	Q96H20
2107.609375	128	1	P81274	Q1MX18
376.648925781	20	1	P54725	P62979
783.489624023	47	2	P54725	P55036
1017.9777832000001	73	1	P61956	Q9P0U3
1081.37158203	77	1	Q01196	Q13951
522.8742675780001	35	2	Q13137	Q9BXW4
1553.72705078	83	3	Q96QK1	Q9UBQ0
845.262695312	53	1	O75436	Q96QK1
605.645690918	32	2	Q01968	Q8N4B1
727.935791016	53	2	P28482	Q9BUB5
344.01098632800006	23	1	O43709	Q9UI30
891.8579101560001	44	1	P67775	P78318
986.7290039060001	45	2	Q15013	Q15645
747.8664550780001	25	1	Q86YP4	Q9UBB5
239.331573486	11	2	P55072	Q9Y263
797.187744141	44	2	O94888	P55072
933.8984375	49	4	P26196	Q96F86
1830.29394531	106	1	Q9Y230	Q9Y265
883.0317382810001	48	4	Q15631	Q99598
641.687988281	21	6	P37198	Q7Z3B4
1038.4284668	57	6	P62837	Q96FW1
151.453613281	9	2	P49736	Q9Y294
1319.77490234	73	2	O75530	Q15910
1183.70727539	75	3	O14936	Q9HAP6
268.379882812	14	3	P62191	Q13200
515.20703125	18	1	P35998	Q13200
792.030273438	30	1	P23528	P60709
838.5092773439999	50	1	P14598	P19878
413.359863281	21	1	Q9HCS7	Q9UNP9
641.103027344	32	1	P62491	Q7L804
8937.37695312	577	1	P12956	P13010
1163.24072266	70	2	P49768	Q9NZ42
1065.22436523	57	1	Q15649	Q9UHK0
1809.99267578	102	2	Q9BXJ9	Q9NX55
822.1411132810001	54	2	P69892	P69905
438.209228516	19	2	P02100	P69905
901.443603516	56	1	P02042	P69905
523.248046875	29	2	P02008	P68871
708.0913085939999	37	1	P68871	P69905
2970.27001953	178	3	O75175	Q9NZN8
824.280700684	54	1	O96013	Q96EL1
2009.56201172	119	4	Q9BRT9	Q9Y248
1683.75488281	100	2	P62136	Q12972
1110.86804199	80	5	P12004	P38936
1617.70996094	100	5	P63208	Q9H4M3
984.746337891	57	2	O43521	Q9HD36
1154.13134766	71	2	O43521	Q16548
678.274902344	29	1	O00330	P09622
834.056274414	46	4	O14893	Q16637
1239.5612793	70	2	Q96AP0	Q9BSI4
2130.62866211	130	2	P52294	Q9UKX7
881.51953125	59	4	P42773	Q00534
872.476196289	53	3	Q09028	Q13330
814.8464355469999	48	3	Q9BS18	Q9UJX2
4527.10839844	266	4	Q8NBT2	Q9HBM1
2192.984375	121	1	P35226	Q99496
587.586425781	40	1	P28482	Q15121
646.993347168	37	3	Q8WV92	Q9HD42
199.190429688	7	2	Q9UBQ5	Q9Y262
731.327148438	54	5	O75817	Q9BUL9
1902.54785156	117	1	P29083	P29084
2036.06689453	112	1	P62877	Q13617
1252.50146484	86	1	P25788	P60900
678.971679688	43	2	O94855	Q15436
1036.20629883	73	2	P55211	P98170
372.550201416	27	2	P55211	Q13490
428.89855957	24	5	Q15291	Q9UBL3
1703.2590332000002	81	2	Q8IX90	Q96BD8
371.98986816400003	16	2	O75531	P50402
829.7250976560001	45	1	Q9Y376	Q9Y6E0
1088.43310547	63	6	P36404	Q9Y2Y0
598.225585938	36	3	P41743	Q9NPB6
3220.49804688	153	6	O00487	P51665
2003.53515625	123	1	Q9NSD9	Q9Y285
1139.68554688	77	4	Q15369	Q15370
1862.88330078	102	5	Q13188	Q9H4B6
1739.66845703	101	3	Q13163	Q13164
1318.68041992	68	1	P54136	Q12904
864.749023438	63	4	P62304	P62306
960.522460938	66	1	P62304	P62308
1683.69213867	113	2	P63165	Q9UBT2
545.015136719	32	2	O94817	Q9NT62
653.973632812	37	2	P57735	Q7L804
739.184631348	58	1	P08151	Q9UMX1
1113.42016602	78	5	Q86WV5	Q9H668
1291.99731445	85	5	Q9UHA4	Q9Y2Q5
1311.47998047	82	1	P29083	P32780
1150.76391602	63	6	Q96A72	Q9Y5S9
1160.11157227	65	6	P61326	Q9Y5S9
1461.109375	76	1	P61201	Q13098
427.26171875	28	1	P62805	Q9Y294
2774.40039062	163	1	Q96DV4	Q9H0U6
1079.61083984	68	6	P11802	P30281
1604.66552734	78	4	Q13895	Q96GA3
146.943908691	9	2	Q13123	Q2TAY7
1430.96044922	86	4	P63208	Q9UKT5
618.725585938	36	2	Q14188	Q16254
2987.49902344	186	3	Q14186	Q16254
320.541015625	22	5	O00506	Q9BUL8
1612.75415039	92	3	Q9BUL8	Q9P289
597.471191406	39	3	P24534	P26641
752.7788085939999	43	2	P49770	Q9UI10
879.964233398	52	4	O95630	Q9Y3E7
1649.20117188	75	1	Q9NRX1	Q9ULX3
2337.53710938	129	3	Q6P4R8	Q9Y5K5
1389.29077148	89	3	P46379	Q7L5D6
2005.56396484	117	2	O00329	P27986
917.729492188	63	1	P15927	P27694
796.0063476560001	44	1	P54727	P55036
1966.95458984	119	3	P63098	Q08209
4367.75292969	278	3	Q15233	Q8WXF1
2983.02197266	176	3	Q86TV6	Q9BYI3
1642.91210938	106	1	O75143	Q9BSB4
1295.72106934	69	3	P60896	Q5JVF3
1286.9909668	92	7	Q8WXD5	Q9H840
1447.99267578	79	3	O75489	Q16718
1810.79626465	102	4	Q13042	Q8NHZ8
1801.34375	78	1	Q7L5N1	Q9BT78
229.235351562	19	4	Q86VN1	Q9BRG1
738.2133789060001	44	1	Q96FZ7	Q9BRG1
1046.90856934	75	3	P12004	Q15004
1008.10375977	65	9	A0A0C4DGV4	Q0VGL1
5835.01757812	323	2	Q8NEU8	Q9UKG1
893.8178710939999	42	3	O60921	Q99638
447.390625	35	2	P10599	Q9H3M7
1546.25683594	78	6	Q99627	Q9UNS2
773.0773925780001	52	2	O43583	Q9ULC4
1031.69091797	61	1	O75317	Q8TBZ3
1605.61889648	106	4	P37108	P49458
3536.05761719	234	1	Q13564	Q8TBC4
788.900390625	61	2	P49642	P49643
737.123657227	43	2	P06730	Q13542
573.94140625	33	3	P49917	Q13426
670.4453125	39	2	O00273	O76075
4128.38525391	220	3	Q6P1K2	Q9H081
2236.24804688	121	3	P55072	Q9BZE9
919.1672363280001	50	0	A0A0C4DGV4	Q6IAA8
355.31372070300006	32	0	A0A0C4DGV4	Q9UHA4
456.486816406	33	0	A0A0C4DGV4	Q9Y2Q5
899.017333984	44	0	A8MT69	Q8IYD8
2402.80761719	147	0	A8MT69	Q8N2Z9
1392.68310547	78	0	D6RGH6	O75496
431.416503906	26	0	O00189	P05067
1043.43615723	72	0	O00213	P05067
577.907226562	32	0	O00231	O00487
580.399902344	29	0	O00231	P25787
254.236328125	10	0	O00231	P43686
428.99121093800005	20	0	O00231	P51665
331.607421875	17	0	O00231	P62195
1515.65332031	79	0	O00231	Q15008
850.323242188	27	0	O00303	O15372
183.038085938	7	0	O00303	Q99613
115.588867188	5	0	O00303	Q9UBQ5
640.723937988	42	0	O00482	P51843
596.104492188	39	0	O00482	Q15466
499.10473632800006	31	0	O00482	Q9UBK2
365.66503906199995	15	0	O00487	O43242
138.399902344	5	0	O00487	P17980
290.306640625	9	0	O00487	P43686
134.362792969	6	0	O00487	P55036
119.2421875	5	0	O00487	P62191
331.176757812	16	0	O00487	P62195
214.775390625	8	0	O00487	P62333
956.8110351560001	55	0	O00506	Q9Y376
957.76574707	63	0	O00522	O14713
767.965820312	41	0	O00522	P61224
528.051818848	33	0	O00522	Q15036
407.496185303	23	0	O00560	O75084
421.08337402300003	21	0	O00560	P31431
915.668579102	57	0	O00629	Q9H6Z4
256.271240234	10	0	O00762	Q9NYG5
691.8566894530001	44	0	O00762	Q9UJX6
881.4946289060001	52	0	O14508	Q15369
201.655517578	11	0	O14508	Q15370
967.745117188	66	0	O14508	Q93034
514.243652344	24	0	O14561	O95139
898.1635742189999	42	0	O14561	Q9Y6M9
398.504180908	27	0	O14653	O94855
1083.48974609	64	0	O14684	Q16873
621.417175293	40	0	O14744	P62805
2005.75537109	123	0	O14744	Q9BQA1
460.300292969	17	0	O14745	P26038
4527.00195312	266	0	O14777	Q8NBT2
97.7133789062	5	0	O14818	P25787
355.818847656	17	0	O14818	P28062
376.706542969	20	0	O14818	P28074
286.677734375	9	0	O14818	P35998
418.883300781	16	0	O14818	P49721
107.520019531	6	0	O14818	P62191
672.0534667969999	38	0	O14893	P62304
193.570556641	8	0	O14893	P62308
459.176025391	24	0	O14893	P62314
1078.98461914	61	0	O14893	P62316
537.3986816409999	37	0	O14931	Q68D85
473.45056152300003	34	0	O14964	Q99816
149.810302734	7	0	O15151	P0CG47
282.841644287	18	0	O15151	Q93009
402.244689941	19	0	O15155	O95486
312.042236328	17	0	O15234	P61326
768.5676269530001	53	0	O15294	P51610
721.023498535	45	0	O15294	P68400
453.481933594	22	0	O15294	Q03252
408.02923584	22	0	O15294	Q08999
647.489746094	36	0	O15294	Q15750
465.773925781	37	0	O15372	Q7L2H7
169.11328125	10	0	O15372	Q99613
270.47265625	12	0	O15372	Q9Y262
2185.58935547	82	0	O15550	P68431
781.776367188	43	0	O15554	P0DP23
999.5593261719999	19	0	O43189	P68431
744.173828125	38	0	O43242	P51665
1263.7199707	54	0	O43242	P60896
574.954101562	24	0	O43242	P62195
1283.22460938	61	0	O43242	Q15008
774.6120605469999	67	0	O43278	Q04756
518.931213379	32	0	O43290	Q9BZL1
114.06762695299999	7	0	O43395	P55769
1052.16430664	54	0	O43521	P10415
133.776123047	6	0	O43521	Q07812
374.060546875	14	0	O43521	Q07820
1314.86730957	70	0	O43521	Q16611
1798.1472167999998	121	0	O43566	P63096
261.333984375	9	0	O43639	P48059
795.8461914060001	47	0	O43665	P08754
238.498046875	12	0	O43674	O95139
1161.3359375	63	0	O43674	O96000
159.856445312	7	0	O43674	Q86Y39
852.876953125	44	0	O43674	Q9NX14
512.467773438	24	0	O43674	Q9Y6M9
1268.38842773	72	0	O43707	P18206
1281.28027344	79	0	O43739	P62330
2953.14599609	168	0	O43747	P61966
1296.70605469	69	0	O43752	O75379
826.7221679689999	51	0	O43924	Q15382
828.9055175780001	48	0	O60341	O95863
1065.0713501	69	0	O60341	P68431
1066.74462891	74	0	O60341	Q16695
1150.37011719	59	0	O60493	O75436
811.086914062	45	0	O60493	Q96QK1
692.4516601560001	45	0	O60828	P83876
390.722412109	24	0	O60880	P06241
885.04296875	40	0	O75140	Q7L523
1826.75219727	140	0	O75317	P0CG47
517.728942871	36	0	O75340	O94979
540.827453613	29	0	O75351	P53990
367.80590820300006	22	0	O75367	P62805
636.674316406	35	0	O75367	P68431
521.642089844	26	0	O75381	P40855
514.0267944340001	25	0	O75381	P50542
695.6528320310001	37	0	O75396	O95486
370.663574219	22	0	O75396	Q15436
1222.35302734	75	0	O75489	O95182
462.099121094	27	0	O75489	Q16795
808.163452148	38	0	O75496	P31274
640.4891357419999	20	0	O75530	P62805
435.07519531199995	27	0	O75581	Q9BQB4
1972.68334961	148	0	O75604	P0CG47
1972.68334961	148	0	O75604	P62979
412.71386718800005	19	0	O75643	Q2TAY7
612.382751465	31	0	O75822	P55884
106.968261719	5	0	O75832	P62333
735.361572266	41	0	O75886	O95630
513.6154785159999	29	0	O75886	P62979
665.5264892580001	34	0	O75886	Q9H3S7
800.6166992189999	42	0	O75934	Q99459
226.84753418	11	0	O76064	P0CG47
570.987365723	28	0	O76074	P18545
1184.05908203	70	0	O76094	Q9UHB9
694.915039062	33	0	O94817	Q9H1Y0
241.834716797	12	0	O94829	P47813
1180.05078125	56	0	O94829	P62826
497.56317138699995	32	0	O94855	Q13190
1080.5859375	61	0	O95139	O96000
771.65234375	39	0	O95139	P17568
971.877929688	50	0	O95139	Q9Y6M9
552.425415039	36	0	O95166	P27797
379.70996093800005	15	0	O95182	Q16718
433.37890625	24	0	O95182	Q9UI09
951.271850586	63	0	O95251	O95696
606.851257324	36	0	O95271	Q9UHP3
594.916015625	38	0	O95271	Q9UIQ6
626.511230469	31	0	O95400	P83876
899.709960938	53	0	O95486	Q15436
869.8269042969999	54	0	O95628	P62837
1616.75341797	97	0	O95639	Q10570
1483.05395508	77	0	O95835	Q9H8S9
669.72869873	29	0	O95863	P31947
300.452148438	15	0	O95926	Q13573
1005.89697266	64	0	O95931	Q99496
346.61816406199995	19	0	O96000	P17568
1533.27246094	82	0	O96000	Q9NX14
1035.60131836	73	0	O96013	P60763
408.646484375	19	0	O96013	P60953
741.4445800780001	36	0	P00519	P46108
523.638183594	27	0	P00519	Q9Y3L3
1197.44274902	82	0	P00742	Q12797
1038.94482422	77	0	P00749	P05121
514.40625	31	0	P01024	P11215
631.156738281	30	0	P01024	P15529
973.3344726560001	42	0	P01024	Q9Y279
991.465820312	53	0	P01100	P05412
426.857727051	28	0	P01106	P61964
533.2912597659999	27	0	P01112	P04049
1454.98632812	70	0	P01112	P20936
1450.45068359	94	0	P01112	Q07889
449.890625	27	0	P01112	Q14449
1718.07958984	106	0	P01112	Q8TDF6
1009.60058594	64	0	P01127	P09619
683.365234375	38	0	P01130	P30533
1171.55664062	66	0	P01236	P16471
928.4503173830001	57	0	P01270	Q03431
433.634521484	18	0	P01308	P06213
979.486572266	44	0	P01563	P17181
1800.51367188	150	0	P02452	P08123
1800.51367188	150	0	P02452	Q14055
2324.84033203	123	0	P02533	P13647
480.68652343800005	27	0	P02743	P12318
957.0344238280001	69	0	P02745	P02746
903.015380859	65	0	P02745	P02747
960.7241210939999	68	0	P02746	P02747
1117.62890625	59	0	P02786	P02787
649.328491211	38	0	P04004	P05121
652.492614746	27	0	P04049	P31947
599.663574219	31	0	P04049	P63104
964.719726562	60	0	P04234	P07766
503.88580322300004	28	0	P04271	Q15109
3026.48193359	196	0	P04440	P20036
492.58795166	30	0	P04921	Q00013
368.32043457	18	0	P05019	P06213
575.788391113	30	0	P05019	P08069
285.677734375	13	0	P05019	P24593
759.344726562	54	0	P05067	P08253
747.6768798830001	27	0	P05067	P62993
767.350219727	58	0	P05067	P80188
683.844238281	30	0	P05230	P21579
396.367675781	22	0	P05230	Q99584
930.084960938	45	0	P05412	P15336
384.11138916	19	0	P06213	P08069
775.931640625	50	0	P06213	P18031
1196.16967773	80	0	P06213	Q14449
417.01184082	20	0	P06241	P27986
415.218505859	19	0	P06703	Q15109
1501.92822266	94	0	P06730	Q04637
246.562744141	9	0	P06899	P0CG47
291.784912109	19	0	P06899	P62805
751.083007812	43	0	P06899	Q15906
547.8073730469999	25	0	P06899	Q8NCN4
644.533508301	31	0	P07101	P61981
731.355834961	42	0	P07357	P07360
1493.3203125	55	0	P07766	P43405
604.336120605	28	0	P07766	Q8TE68
1100.76245117	66	0	P07992	Q92889
1416.55688477	83	0	P07998	P13489
1598.02709961	146	0	P08123	Q14055
1076.01953125	56	0	P08151	P31947
631.828125	16	0	P08238	P11802
191.25939941400003	6	0	P08238	Q02790
270.42578125	9	0	P08238	Q16543
1196.88867188	72	0	P08253	P16035
848.2890625	57	0	P08579	P09661
277.193359375	14	0	P08621	P09234
420.830322266	21	0	P08621	P14678
253.6640625	16	0	P08621	P62306
1016.88208008	59	0	P08621	P62316
741.8933105469999	38	0	P08621	P62318
756.8913574219999	43	0	P08754	P41220
837.608398438	53	0	P08754	P57771
555.905761719	29	0	P08865	P15880
1551.79931641	94	0	P08865	Q9ULX3
629.184570312	31	0	P08887	P40189
536.8835449219999	25	0	P09234	P62318
253.12109375	11	0	P09493	Q13426
891.630615234	42	0	P09493	Q15691
837.3016357419999	25	0	P09619	P27986
612.502075195	35	0	P0CG47	P21580
200.293701172	7	0	P0CG47	P36406
959.474609375	58	0	P0CG47	P46934
883.685302734	59	0	P0CG47	P51668
376.615722656	20	0	P0CG47	P54725
362.97387695300006	14	0	P0CG47	P61077
436.06542968800005	27	0	P0CG47	P61086
2106.76269531	140	0	P0CG47	P62068
950.8188476560001	67	0	P0CG47	P62837
698.699462891	49	0	P0CG47	P63208
173.212646484	8	0	P0CG47	Q12888
537.529785156	32	0	P0CG47	Q13137
1097.87451172	78	0	P0CG47	Q6GQQ9
1516.94262695	114	0	P0CG47	Q70CQ3
553.909667969	34	0	P0CG47	Q8IYW5
636.858398438	31	0	P0CG47	Q8NCN4
394.718994141	15	0	P0CG47	Q8TBB1
1189.26123047	78	0	P0CG47	Q93009
1382.72705078	80	0	P0CG47	Q96AP4
639.8078613280001	43	0	P0CG47	Q99816
487.17480468800005	24	0	P0CG47	Q9NS91
674.0954589840001	48	0	P0CG47	Q9NYG5
706.7648925780001	36	0	P0CG47	Q9NZ52
743.0981445310001	41	0	P0CG47	Q9UJ41
1739.84326172	130	0	P0CG47	Q9UK80
590.2678222659999	33	0	P0CG47	Q9UMX0
900.098022461	59	0	P0CG47	Q9UNA4
1271.96948242	64	0	P0CG47	Q9Y5K5
1198.15625	74	0	P0DMV8	Q9NZL4
747.955322266	40	0	P0DMV8	Q9UL15
1176.25732422	76	0	P0DMV9	Q9NZL4
1225.41546631	59	0	P0DP23	P14151
839.4542236330001	49	0	P0DP23	P24588
1261.07617188	59	0	P0DP23	P29474
1138.97802734	58	0	P0DP23	P48539
685.1981201169999	38	0	P0DP23	Q08209
1439.82556152	81	0	P0DP23	Q13557
1321.90466309	76	0	P0DP23	Q13698
1590.6730957	96	0	P0DP23	Q15746
1490.00292969	82	0	P0DP23	Q9UIK4
1311.70092773	76	0	P10153	P13489
486.59173584	30	0	P10276	Q15788
981.4338989260001	61	0	P10415	Q14457
387.40917968800005	19	0	P10809	P61604
524.615905762	32	0	P10826	Q15788
1971.31298828	88	0	P10916	P12883
480.91076660199997	28	0	P11142	P25685
968.4362792969999	50	0	P11142	Q99933
954.3840332030001	58	0	P11142	Q9UNE7
911.5090332030001	44	0	P11234	Q15311
1207.38232422	72	0	P11441	P46379
758.114257812	41	0	P11802	Q16543
397.982421875	20	0	P12004	P62979
674.25579834	48	0	P12004	Q5TBB1
331.61486816400003	19	0	P12004	Q96PU4
626.905822754	43	0	P12004	Q9BWF2
571.4094238280001	36	0	P12757	Q13485
2841.21191406	142	0	P12883	Q13426
3561.20507812	185	0	P12883	Q15691
670.5227050780001	29	0	P13861	Q06455
382.387207031	20	0	P13984	P29084
544.385742188	29	0	P13984	Q00403
369.282958984	18	0	P14653	P40424
659.8137207030001	40	0	P14678	P62314
762.605224609	56	0	P14678	P62318
915.2211914060001	55	0	P14784	P31785
509.15527343800005	34	0	P14859	Q16633
685.075195312	44	0	P15018	P40189
472.634765625	25	0	P15692	P31025
147.427734375	6	0	P15880	P23396
209.821289062	10	0	P15880	Q9BVS4
321.5078125	16	0	P15923	P25791
1233.53356934	85	0	P17181	P29597
1082.7265625	72	0	P17612	P61925
729.6723632810001	37	0	P17980	P25786
145.76953125	5	0	P17980	P25788
2610.71386719	140	0	P17980	P35998
1105.5703125	68	0	P17980	P43686
133.926757812	6	0	P17980	P51665
200.21435546900003	10	0	P17980	P55036
1215.57763672	79	0	P18206	Q8IY67
422.01635742199994	29	0	P18206	Q9BX66
2201.06005859	122	0	P19388	P24928
2274.76123047	123	0	P19429	P45379
2274.27294922	142	0	P19429	P63316
576.535644531	30	0	P19447	Q6ZYL4
230.271728516	8	0	P19447	Q92759
575.372558594	35	0	P19878	P63000
295.818847656	12	0	P20339	Q15276
1097.625	67	0	P20339	Q9UJ41
4342.52148438	250	0	P20585	P43246
704.6440429689999	35	0	P20618	P28062
504.376464844	28	0	P20618	P28074
696.6967773439999	37	0	P20618	P49720
501.39685058599997	28	0	P20645	Q9NZ52
1301.15869141	69	0	P21266	P28161
997.5854492189999	64	0	P21549	P50542
225.796142578	13	0	P21579	P60880
589.2697753909999	26	0	P21579	Q99584
131.26184082	7	0	P21580	P51668
307.606933594	15	0	P22301	Q13651
2708.71386719	144	0	P23193	P24928
509.15527343800005	28	0	P23396	P63244
579.1160888669999	44	0	P23497	P68431
532.121582031	25	0	P23528	P53667
1387.89770508	78	0	P23560	P34130
243.856445312	13	0	P24928	P29083
338.66796875	12	0	P24928	P29084
951.213867188	60	0	P24928	P52435
592.248535156	30	0	P24928	P62487
2303.73535156	128	0	P24928	Q00403
669.977539062	42	0	P24928	Q96P16
796.6956176760001	49	0	P24928	Q9GZU7
568.2854003909999	30	0	P24928	Q9UPN6
1045.87316895	67	0	P25685	P61925
128.21875	5	0	P25786	P25789
488.302734375	25	0	P25786	P28070
168.569824219	6	0	P25787	P25788
1401.40185547	91	0	P25787	P25789
313.685058594	16	0	P25787	P43686
386.499511719	22	0	P25787	P49720
1727.12451172	91	0	P25787	P60900
295.319335938	10	0	P25787	P62195
107.6953125	5	0	P25788	P25789
459.05566406199995	24	0	P25788	P28065
328.005859375	17	0	P25788	P28070
403.30371093800005	22	0	P25788	P28072
283.546386719	13	0	P25788	P62333
432.29003906199995	18	0	P25789	P49720
461.235839844	24	0	P25789	P49721
150.907714844	6	0	P25789	P60900
235.3515625	8	0	P25789	P62191
894.8425292969999	51	0	P25815	Q15109
580.2078857419999	41	0	P25942	Q13114
572.3153076169999	39	0	P25942	Q9Y4K3
686.7335205080001	37	0	P26641	P29692
493.441894531	27	0	P26718	Q5VY80
491.83551025400004	30	0	P27694	Q96LW4
674.473022461	39	0	P27797	P30040
841.793945312	53	0	P28062	P49720
601.672851562	37	0	P28062	P49721
1197.50390625	60	0	P28065	P28070
447.19140625	19	0	P28065	P60900
1115.47802734	62	0	P28070	P28072
378.79980468800005	19	0	P28072	P60900
784.283203125	52	0	P28074	P49720
633.066894531	34	0	P28074	P49721
1516.57177734	94	0	P28347	P46937
841.9971923830001	26	0	P28482	P35236
588.926696777	29	0	P28482	P36507
552.557922363	28	0	P28482	P40763
734.3999023439999	43	0	P29083	P62487
148.467285156	9	0	P29274	P62873
487.94201660199997	29	0	P29590	P63165
993.209960938	70	0	P30153	P67775
1565.97558594	80	0	P30153	Q9Y5P8
417.745025635	28	0	P30990	Q99523
958.688476562	56	0	P31153	Q9NZL9
893.389709473	50	0	P31947	P46937
999.2221679689999	51	0	P31947	P49675
616.858215332	28	0	P31947	Q6TGC4
1067.89343262	53	0	P31947	Q9GZV5
1021.35290527	66	0	P32780	Q14186
1185.83959961	73	0	P32780	Q2YD98
2185.66137695	124	0	P35226	P61077
2817.35253906	155	0	P35998	P62191
531.9375	26	0	P36406	P62837
986.6593017580001	64	0	P36873	Q5SWA1
628.4357910159999	46	0	P36941	Q13114
241.91552734400003	9	0	P37198	Q8N1F7
374.478515625	11	0	P37198	Q9BVL2
553.241027832	35	0	P37231	Q15788
508.87243652300003	30	0	P37231	Q9UBK2
1572.56787109	102	0	P38919	P61326
1559.45117188	100	0	P38919	Q9HCG8
137.274169922	5	0	P38919	Q9Y5S9
321.403808594	16	0	P40337	Q13617
1037.88500977	60	0	P40337	Q15369
199.215087891	11	0	P40337	Q15370
2487.52783203	138	0	P41227	Q9BXJ9
453.55371093800005	22	0	P41227	Q9NX55
920.103881836	35	0	P42568	P68431
1260.03308105	38	0	P42568	P84243
642.6358642580001	32	0	P42568	Q9HC52
275.980712891	14	0	P42574	P98170
1515.55200195	87	0	P42768	P60953
1303.96972656	67	0	P43003	Q15758
194.52099609400003	8	0	P43220	P62873
272.837890625	14	0	P43686	P51665
322.823242188	12	0	P43686	P60900
107.081054688	5	0	P43686	P62191
2625.8046875	137	0	P43686	P62333
90.0771484375	5	0	P43686	Q15008
407.18066406199995	22	0	P45379	P63316
565.048828125	29	0	P46379	Q9BV68
509.277099609	21	0	P46527	P61024
421.465026855	27	0	P46934	Q96B67
1227.0390625	73	0	P46937	Q15561
584.5461425780001	29	0	P46937	Q15797
368.14880371099997	20	0	P46937	Q96G27
691.220703125	39	0	P47897	P54136
276.117919922	11	0	P47897	Q12904
494.201293945	28	0	P48552	P51449
827.3295898439999	38	0	P48788	P63316
