orf_id	ensembl_transcript_id	ensembl_protein_id	ensembl_gene_id	symbol
81	ENST00000409785.8	ENSP00000386738.3	ENSG00000176407.17	KCMF1
86	ENST00000332262.9	ENSP00000339057.3	ENSG00000158301.18	GPRASP2
88	ENST00000296786.7	ENSP00000296786.6	ENSG00000164332.7	UBLCP1
90	ENST00000205135.8	ENSP00000205135.3	ENSG00000090924.14	PLEKHG2
91	ENST00000305798.7	ENSP00000307701.3	ENSG00000168785.7	TSPAN5
92	ENST00000329783.8	ENSP00000330141.4	ENSG00000170190.15	SLC16A5
93	ENST00000526627.1	ENSP00000436897.1	ENSG00000256235.1	SMIM3
94	ENST00000587834.5	ENSP00000468633.1	ENSG00000166562.8	SEC11C
95	ENST00000618819.4	ENSP00000482732.1	ENSG00000169410.9	PTPN9
96	ENST00000373279.5	ENSP00000362376.4	ENSG00000171224.8	C10orf35
97	ENST00000311956.8	ENSP00000310491.4	ENSG00000175220.11	ARHGAP1
98	ENST00000354410.9	ENSP00000346389.5	ENSG00000068305.17	MEF2A
100	ENST00000300213.8	ENSP00000300213.4	ENSG00000166946.13	CCNDBP1
101	ENST00000406452.7	ENSP00000385927.3	ENSG00000176623.11	RMDN1
102	ENST00000064724.7	ENSP00000064724.3	ENSG00000013297.10	CLDN11
105	ENST00000361684.8	ENSP00000354441.4	ENSG00000198792.12	TMEM184B
107	ENST00000225655.5	ENSP00000225655.5	ENSG00000108518.7	PFN1
108	ENST00000223368.6	ENSP00000223368.2	ENSG00000106635.7	BCL7B
109	ENST00000301964.6	ENSP00000307684.2	ENSG00000171148.13	TADA3
110	ENST00000278919.7	ENSP00000278919.3	ENSG00000149557.12	FEZ1
111	ENST00000216259.7	ENSP00000216259.7	ENSG00000100417.11	PMM1
112	ENST00000235835.7	ENSP00000235835.3	ENSG00000053371.12	AKR7A2
113	ENST00000309268.10	ENSP00000339053.4	ENSG00000156508.17	EEF1A1
115	ENST00000377725.5	ENSP00000366954.1	ENSG00000171680.21	PLEKHG5
116	ENST00000369454.3	ENSP00000358466.3	ENSG00000155961.4	RAB39B
117	ENST00000392446.9	ENSP00000376241.4	ENSG00000171302.16	CANT1
119	ENST00000316448.9	ENSP00000320866.4	ENSG00000179218.13	CALR
120	ENST00000371924.5	ENSP00000360992.1	ENSG00000138134.11	STAMBPL1
121	ENST00000052569.10	ENSP00000052569.6	ENSG00000047932.13	GOPC
122	ENST00000306357.8	ENSP00000305255.2	ENSG00000170310.14	STX8
123	ENST00000258412.7	ENSP00000258412.3	ENSG00000135926.14	TMBIM1
124	ENST00000372114.3	ENSP00000361186.3	ENSG00000172315.5	TP53RK
125	ENST00000161006.7	ENSP00000161006.3	ENSG00000005001.9	PRSS22
126	ENST00000261789.8	ENSP00000261789.4	ENSG00000100926.14	TM9SF1
127	ENST00000597629.1	ENSP00000469647.1	ENSG00000128016.5	ZFP36
128	ENST00000368463.7	ENSP00000357448.3	ENSG00000163346.16	PBXIP1
130	ENST00000254436.7	ENSP00000254436.7	ENSG00000132109.9	TRIM21
131	ENST00000379375.5	ENSP00000368683.5	ENSG00000078401.6	EDN1
132	ENST00000396024.7	ENSP00000379342.3	ENSG00000182718.16	ANXA2
134	ENST00000225831.4	ENSP00000225831.4	ENSG00000108691.9	CCL2
135	ENST00000441611.5	ENSP00000410865.1	ENSG00000196072.11	BLOC1S2
136	ENST00000342879.7	ENSP00000344254.3	ENSG00000089327.14	FXYD5
137	ENST00000215730.11	ENSP00000215730.6	ENSG00000099940.11	SNAP29
138	ENST00000396334.7	ENSP00000379625.3	ENSG00000172936.12	MYD88
139	ENST00000262301.15	ENSP00000262301.11	ENSG00000103227.18	LMF1
141	ENST00000394671.7	ENSP00000378166.3	ENSG00000113119.12	TMCO6
142	ENST00000235329.9	ENSP00000235329.5	ENSG00000116688.16	MFN2
143	ENST00000320356.6	ENSP00000320147.2	ENSG00000106462.10	EZH2
145	ENST00000280362.7	ENSP00000280362.3	ENSG00000150787.7	PTS
146	ENST00000375481.1	ENSP00000364630.1	ENSG00000117115.12	PADI2
147	ENST00000425690.7	ENSP00000402060.2	ENSG00000073008.14	PVR
148	ENST00000247470.9	ENSP00000247470.9	ENSG00000103490.13	PYCARD
149	ENST00000307365.3	ENSP00000307305.3	ENSG00000168209.4	DDIT4
150	ENST00000358015.7	ENSP00000350708.3	ENSG00000119318.12	RAD23B
151	ENST00000375859.3	ENSP00000365019.3	ENSG00000106723.16	SPIN1
152	ENST00000377199.3	ENSP00000366404.3	ENSG00000204713.10	TRIM27
153	ENST00000295757.7	ENSP00000295757.3	ENSG00000163517.14	HDAC11
154	ENST00000377674.8	ENSP00000366902.4	ENSG00000204859.12	ZBTB48
155	ENST00000258770.7	ENSP00000258770.3	ENSG00000136270.13	TBRG4
156	ENST00000355848.7	ENSP00000348107.3	ENSG00000197223.11	C1D
157	ENST00000502976.5	ENSP00000421323.1	ENSG00000169714.16	CNBP
158	ENST00000311051.7	ENSP00000311912.3	ENSG00000166313.18	APBB1
159	ENST00000409502.7	ENSP00000387046.3	ENSG00000164088.17	PPM1M
160	ENST00000396352.8	ENSP00000379640.3	ENSG00000105997.22	HOXA3
161	ENST00000358935.2	ENSP00000351813.2	ENSG00000198060.9	MARCH5
163	ENST00000545279.5	ENSP00000441954.2	ENSG00000113658.16	SMAD5
164	ENST00000397821.7	ENSP00000380921.3	ENSG00000147010.17	SH3KBP1
165	ENST00000354869.7	ENSP00000346940.3	ENSG00000079974.17	RABL2B
167	ENST00000224784.10	ENSP00000224784.6	ENSG00000107796.13	ACTA2
170	ENST00000450383.1	ENSP00000391436.1	ENSG00000185347.17	C14orf80
171	ENST00000425611.6	ENSP00000403683.2	ENSG00000173559.12	NABP1
172	ENST00000555049.5	ENSP00000452307.1	ENSG00000090061.17	CCNK
173	ENST00000308153.8	ENSP00000308405.4	ENSG00000105968.18	H2AFV
174	ENST00000240306.4	ENSP00000240306.3	ENSG00000108813.10	DLX4
175	ENST00000297071.8	ENSP00000297071.4	ENSG00000164548.10	TRA2A
176	ENST00000322652.9	ENSP00000316578.5	ENSG00000178691.10	SUZ12
177	ENST00000489418.5	ENSP00000417686.1	ENSG00000163950.12	SLBP
179	ENST00000244040.3	ENSP00000244040.3	ENSG00000124209.3	RAB22A
180	ENST00000337702.4	ENSP00000338533.4	ENSG00000113638.13	TTC33
182	ENST00000225972.7	ENSP00000225972.7	ENSG00000108829.9	LRRC59
183	ENST00000374242.8	ENSP00000363360.3	ENSG00000148153.13	INIP
184	ENST00000229340.9	ENSP00000229340.5	ENSG00000111737.11	RAB35
187	ENST00000302177.2	ENSP00000304004.1	ENSG00000170608.2	FOXA3
188	ENST00000411829.6	ENSP00000416801.2	ENSG00000177595.17	PIDD1
190	ENST00000528416.5	ENSP00000436901.1	ENSG00000133884.9	DPF2
191	ENST00000020945.3	ENSP00000020945.1	ENSG00000019549.9	SNAI2
192	ENST00000335783.3	ENSP00000337289.2	ENSG00000031691.6	CENPQ
193	ENST00000336216.8	ENSP00000336856.4	ENSG00000140382.14	HMG20A
194	ENST00000428826.6	ENSP00000404658.1	ENSG00000108799.12	EZH1
195	ENST00000256255.10	ENSP00000256255.6	ENSG00000133872.13	SARAF
197	ENST00000418153.6	ENSP00000398824.2	ENSG00000135365.15	PHF21A
198	ENST00000244051.2	ENSP00000244051.1	ENSG00000124217.4	MOCS3
199	ENST00000372989.5	ENSP00000362080.1	ENSG00000102362.15	SYTL4
200	ENST00000227758.6	ENSP00000227758.2	ENSG00000110330.8	BIRC2
201	ENST00000381218.8	ENSP00000370616.3	ENSG00000214717.11	ZBED1
203	ENST00000397885.2	ENSP00000380982.2	ENSG00000080608.9	PUM3
204	ENST00000347055.3	ENSP00000340083.3	ENSG00000172086.7	KRCC1
206	ENST00000291439.7	ENSP00000291439.2	ENSG00000072958.8	AP1M1
207	ENST00000220913.9	ENSP00000220913.5	ENSG00000104472.9	CHRAC1
208	ENST00000265138.3	ENSP00000265138.3	ENSG00000113369.8	ARRDC3
209	ENST00000220514.7	ENSP00000220514.3	ENSG00000104147.8	OIP5
210	ENST00000394236.7	ENSP00000377783.3	ENSG00000184500.14	PROS1
212	ENST00000290524.8	ENSP00000290524.4	ENSG00000143390.17	RFX5
213	ENST00000296577.8	ENSP00000296577.4	ENSG00000164163.10	ABCE1
214	ENST00000416149.6	ENSP00000413751.2	ENSG00000116001.15	TIA1
215	ENST00000360668.7	ENSP00000353886.3	ENSG00000101460.12	MAP1LC3A
217	ENST00000370751.9	ENSP00000359787.4	ENSG00000137959.15	IFI44L
218	ENST00000372224.8	ENSP00000361298.4	ENSG00000142945.12	KIF2C
219	ENST00000311212.8	ENSP00000311768.4	ENSG00000120963.11	ZNF706
220	ENST00000542321.6	ENSP00000440025.2	ENSG00000182175.13	RGMA
222	ENST00000425380.6	ENSP00000414884.2	ENSG00000198331.10	HYLS1
223	ENST00000389629.8	ENSP00000374280.4	ENSG00000137815.14	RTF1
225	ENST00000375980.8	ENSP00000365147.4	ENSG00000142634.12	EFHD2
226	ENST00000331531.9	ENSP00000328403.5	ENSG00000183048.11	SLC25A10
227	ENST00000466444.6	ENSP00000420357.2	ENSG00000111832.12	RWDD1
229	ENST00000336023.9	ENSP00000336799.5	ENSG00000123416.15	TUBA1B
230	ENST00000398452.6	ENSP00000381470.1	ENSG00000154839.9	SKA1
231	ENST00000392369.6	ENSP00000376176.2	ENSG00000132341.11	RAN
232	ENST00000254810.8	ENSP00000254810.3	ENSG00000132475.10	H3F3B
232	ENST00000366813.1	ENSP00000355778.1	ENSG00000163041.9	H3F3A
233	ENST00000375535.3	ENSP00000364685.3	ENSG00000117122.13	MFAP2
234	ENST00000532158.5	ENSP00000436250.1	ENSG00000181135.15	ZNF707
235	ENST00000373255.8	ENSP00000362352.3	ENSG00000099284.13	H2AFY2
236	ENST00000356455.8	ENSP00000348838.4	ENSG00000175063.16	UBE2C
239	ENST00000322940.10	ENSP00000363753.3	ENSG00000119328.11	FAM206A
240	ENST00000343470.8	ENSP00000345917.4	ENSG00000145220.13	LYAR
241	ENST00000296581.10	ENSP00000296581.5	ENSG00000164167.10	LSM6
242	ENST00000215794.7	ENSP00000215794.7	ENSG00000184979.9	USP18
244	ENST00000171111.9	ENSP00000171111.4	ENSG00000079999.13	KEAP1
247	ENST00000315436.7	ENSP00000319474.3	ENSG00000176871.8	WSB2
249	ENST00000237264.8	ENSP00000237264.3	ENSG00000028839.9	TBPL1
251	ENST00000269321.11	ENSP00000269321.7	ENSG00000141522.11	ARHGDIA
252	ENST00000311764.2	ENSP00000309606.2	ENSG00000175213.2	ZNF408
253	ENST00000338110.9	ENSP00000336927.5	ENSG00000149925.17	ALDOA
254	ENST00000225665.11	ENSP00000225665.7	ENSG00000108528.13	SLC25A11
256	ENST00000378565.9	ENSP00000367828.4	ENSG00000136156.12	ITM2B
257	ENST00000360943.9	ENSP00000354201.5	ENSG00000159202.17	UBE2Z
258	ENST00000354926.8	ENSP00000347005.4	ENSG00000146963.17	LUC7L2
259	ENST00000266556.7	ENSP00000266556.7	ENSG00000139192.11	TAPBPL
260	ENST00000170447.11	ENSP00000170447.7	ENSG00000075975.15	MKRN2
261	ENST00000273610.3	ENSP00000273610.3	ENSG00000145040.3	UCN2
262	ENST00000328089.10	ENSP00000330221.6	ENSG00000171621.13	SPSB1
263	ENST00000259526.3	ENSP00000259526.3	ENSG00000136999.4	NOV
264	ENST00000333396.11	ENSP00000328251.6	ENSG00000170854.17	RIOX2
266	ENST00000243662.10	ENSP00000243662.5	ENSG00000123892.11	RAB38
267	ENST00000371088.4	ENSP00000360129.4	ENSG00000203965.12	EFCAB7
268	ENST00000370938.7	ENSP00000359976.3	ENSG00000116761.11	CTH
269	ENST00000244137.11	ENSP00000244137.5	ENSG00000124299.13	PEPD
270	ENST00000355653.7	ENSP00000347872.2	ENSG00000108828.15	VAT1
272	ENST00000357066.7	ENSP00000349575.2	ENSG00000172081.13	MOB3A
273	ENST00000216330.7	ENSP00000216330.3	ENSG00000100442.10	FKBP3
275	ENST00000316937.7	ENSP00000324741.3	ENSG00000146826.16	C7orf43
276	ENST00000359933.5	ENSP00000353010.4	ENSG00000066739.11	ATG2B
277	ENST00000343765.6	ENSP00000339122.2	ENSG00000151445.15	VIPAS39
278	ENST00000272252.9	ENSP00000272252.5	ENSG00000143891.16	GALM
279	ENST00000258947.7	ENSP00000258947.3	ENSG00000136436.14	CALCOCO2
280	ENST00000345633.8	ENSP00000298701.7	ENSG00000165806.19	CASP7
281	ENST00000228510.7	ENSP00000228510.3	ENSG00000110921.13	MVK
282	ENST00000394805.7	ENSP00000378284.3	ENSG00000015479.18	MATR3
282	ENST00000361059.7	ENSP00000354346.4	ENSG00000280987.4	MATR3
283	ENST00000279036.11	ENSP00000279036.6	ENSG00000124155.17	PIGT
284	ENST00000233047.8	ENSP00000233047.4	ENSG00000011638.10	TMEM159
285	ENST00000393593.7	ENSP00000377218.3	ENSG00000168310.10	IRF2
286	ENST00000458276.6	ENSP00000390849.2	ENSG00000011198.7	ABHD5
287	ENST00000267953.3	ENSP00000267953.3	ENSG00000140379.7	BCL2A1
288	ENST00000378198.8	ENSP00000367440.4	ENSG00000111802.13	TDP2
290	ENST00000271277.10	ENSP00000271277.6	ENSG00000143079.14	CTTNBP2NL
291	ENST00000340296.8	ENSP00000339430.4	ENSG00000077380.15	DYNC1I2
292	ENST00000243050.5	ENSP00000243050.1	ENSG00000123358.19	NR4A1
293	ENST00000602195.5	ENSP00000472530.1	ENSG00000269437.6	NXF2B
293	ENST00000625106.3	ENSP00000485586.1	ENSG00000269405.6	NXF2
294	ENST00000216039.9	ENSP00000216039.5	ENSG00000100221.10	JOSD1
295	ENST00000299705.9	ENSP00000299705.5	ENSG00000166557.12	TMED3
296	ENST00000428278.6	ENSP00000395310.2	ENSG00000129691.15	ASH2L
297	ENST00000356940.10	ENSP00000349415.6	ENSG00000099246.16	RAB18
298	ENST00000296805.7	ENSP00000296805.3	ENSG00000164347.17	GFM2
299	ENST00000298894.4	ENSP00000298894.4	ENSG00000165943.4	MOAP1
300	ENST00000378842.7	ENSP00000368119.3	ENSG00000213930.11	GALT
301	ENST00000379162.8	ENSP00000368460.4	ENSG00000067992.12	PDK3
303	ENST00000355943.7	ENSP00000348211.3	ENSG00000164209.16	SLC25A46
304	ENST00000338483.6	ENSP00000345393.2	ENSG00000185022.11	MAFF
305	ENST00000372813.3	ENSP00000361900.3	ENSG00000025772.7	TOMM34
306	ENST00000317089.9	ENSP00000314030.5	ENSG00000069345.11	DNAJA2
307	ENST00000337227.8	ENSP00000336866.4	ENSG00000089050.15	RBBP9
310	ENST00000305641.6	ENSP00000307214.5	ENSG00000168806.7	LCMT2
311	ENST00000356661.6	ENSP00000349085.5	ENSG00000198681.6	MAGEA1
312	ENST00000354586.4	ENSP00000346599.4	ENSG00000198252.11	STYX
313	ENST00000288111.11	ENSP00000288111.7	ENSG00000157379.13	DHRS1
314	ENST00000274065.8	ENSP00000346050.3	ENSG00000145425.9	RPS3A
315	ENST00000330154.6	ENSP00000328631.2	ENSG00000184867.13	ARMCX2
316	ENST00000409592.7	ENSP00000386694.3	ENSG00000135905.18	DOCK10
317	ENST00000216029.7	ENSP00000216029.3	ENSG00000100211.10	CBY1
318	ENST00000254940.9	ENSP00000254940.5	ENSG00000132603.13	NIP7
319	ENST00000370952.3	ENSP00000359990.3	ENSG00000066557.5	LRRC40
322	ENST00000392514.8	ENSP00000376299.4	ENSG00000089157.15	RPLP0
323	ENST00000369847.3	ENSP00000358862.3	ENSG00000156374.14	PCGF6
325	ENST00000265073.8	ENSP00000265073.4	ENSG00000113387.11	SUB1
326	ENST00000359154.6	ENSP00000352069.2	ENSG00000198373.12	WWP2
328	ENST00000367242.3	ENSP00000356211.3	ENSG00000163444.11	TMEM183A
329	ENST00000333371.7	ENSP00000327650.3	ENSG00000184056.14	VPS33B
330	ENST00000262629.8	ENSP00000262629.3	ENSG00000011600.11	TYROBP
333	ENST00000369763.4	ENSP00000358778.4	ENSG00000121931.15	LRIF1
335	ENST00000530188.1	ENSP00000433914.1	ENSG00000175573.6	C11orf68
336	ENST00000366922.2	ENSP00000355889.2	ENSG00000067704.9	IARS2
338	ENST00000517385.5	ENSP00000429017.1	ENSG00000085788.13	DDHD2
339	ENST00000273047.8	ENSP00000273047.4	ENSG00000144566.10	RAB5A
342	ENST00000375940.8	ENSP00000365107.4	ENSG00000120539.14	MASTL
343	ENST00000223029.7	ENSP00000223029.3	ENSG00000106305.9	AIMP2
344	ENST00000196371.9	ENSP00000196371.5	ENSG00000083720.12	OXCT1
345	ENST00000543251.5	ENSP00000440796.1	ENSG00000164338.9	UTP15
346	ENST00000306730.7	ENSP00000306822.3	ENSG00000169857.7	AVEN
347	ENST00000370211.8	ENSP00000359230.5	ENSG00000213397.10	HAUS7
349	ENST00000266673.9	ENSP00000266673.5	ENSG00000139291.13	TMEM19
351	ENST00000475111.6	ENSP00000431007.1	ENSG00000112697.15	TMEM30A
353	ENST00000360997.6	ENSP00000354270.2	ENSG00000168309.16	FAM107A
356	ENST00000284878.11	ENSP00000284878.7	ENSG00000154639.18	CXADR
358	ENST00000353047.10	ENSP00000345672.5	ENSG00000164733.20	CTSB
359	ENST00000352178.9	ENSP00000344460.5	ENSG00000160200.17	CBS
359	ENST00000398168.5	ENSP00000381234.2	ENSG00000274276.4	CBSL
360	ENST00000298492.5	ENSP00000298492.5	ENSG00000165660.7	ABRAXAS2
361	ENST00000285689.7	ENSP00000285689.3	ENSG00000155324.9	GRAMD2B
363	ENST00000314940.6	ENSP00000316042.4	ENSG00000177733.6	HNRNPA0
365	ENST00000269349.7	ENSP00000269349.3	ENSG00000141543.9	EIF4A3
366	ENST00000270225.11	ENSP00000270225.6	ENSG00000142230.11	SAE1
367	ENST00000300005.7	ENSP00000300005.3	ENSG00000196678.13	ERI2
369	ENST00000278407.8	ENSP00000278407.4	ENSG00000149131.15	SERPING1
370	ENST00000221856.10	ENSP00000221856.5	ENSG00000105255.10	FSD1
371	ENST00000525451.6	ENSP00000432660.1	ENSG00000172757.12	CFL1
374	ENST00000360001.10	ENSP00000353094.6	ENSG00000078808.16	SDF4
376	ENST00000199448.8	ENSP00000199448.4	ENSG00000086289.11	EPDR1
379	ENST00000264689.10	ENSP00000264689.6	ENSG00000109775.10	UFSP2
381	ENST00000317204.10	ENSP00000314733.5	ENSG00000078902.15	TOLLIP
382	ENST00000394264.5	ENSP00000377807.4	ENSG00000187866.8	FAM122A
383	ENST00000308683.2	ENSP00000310042.2	ENSG00000173545.4	ZNF622
384	ENST00000314565.8	ENSP00000321546.4	ENSG00000165714.10	BORCS5
385	ENST00000287814.4	ENSP00000287814.4	ENSG00000157150.4	TIMP4
386	ENST00000276449.8	ENSP00000276449.3	ENSG00000147465.11	STAR
388	ENST00000568546.5	ENSP00000454836.1	ENSG00000183751.14	TBL3
389	ENST00000200691.4	ENSP00000200691.4	ENSG00000087250.8	MT3
391	ENST00000393080.8	ENSP00000376795.4	ENSG00000196136.17	SERPINA3
392	ENST00000526772.5	ENSP00000433158.1	ENSG00000198561.13	CTNND1
393	ENST00000374737.8	ENSP00000363869.4	ENSG00000155659.14	VSIG4
394	ENST00000535923.5	ENSP00000441875.1	ENSG00000215021.8	PHB2
396	ENST00000216146.8	ENSP00000346001.3	ENSG00000100316.15	RPL3
397	ENST00000312960.3	ENSP00000322457.3	ENSG00000181788.3	SIAH2
398	ENST00000369603.9	ENSP00000358616.4	ENSG00000119953.12	SMNDC1
399	ENST00000344548.7	ENSP00000341072.3	ENSG00000070831.15	CDC42
400	ENST00000464631.6	ENSP00000431727.2	ENSG00000120341.18	SEC16B
402	ENST00000302014.10	ENSP00000304236.6	ENSG00000170458.13	CD14
404	ENST00000303372.6	ENSP00000304941.5	ENSG00000168778.11	TCTN2
405	ENST00000537981.5	ENSP00000440874.1	ENSG00000133318.13	RTN3
406	ENST00000372455.4	ENSP00000361533.4	ENSG00000159479.16	MED8
407	ENST00000368705.2	ENSP00000357694.1	ENSG00000188643.10	S100A16
408	ENST00000267970.8	ENSP00000267970.4	ENSG00000140391.14	TSPAN3
409	ENST00000473717.1	ENSP00000476600.1	ENSG00000133477.16	FAM83F
410	ENST00000361355.8	ENSP00000354610.4	ENSG00000240038.6	AMY2B
411	ENST00000332118.10	ENSP00000328023.5	ENSG00000182934.11	SRPRA
412	ENST00000397847.6	ENSP00000380945.2	ENSG00000165795.23	NDRG2
413	ENST00000379704.7	ENSP00000369026.2	ENSG00000107262.19	BAG1
414	ENST00000612946.4	ENSP00000479834.1	ENSG00000100154.14	TTC28
416	ENST00000420283.2	ENSP00000410943.1	ENSG00000187189.10	TSPYL4
420	ENST00000316403.14	ENSP00000315130.10	ENSG00000120885.21	CLU
421	ENST00000359308.8	ENSP00000352257.4	ENSG00000196419.12	XRCC6
422	ENST00000234590.8	ENSP00000234590.4	ENSG00000074800.13	ENO1
423	ENST00000264005.9	ENSP00000264005.5	ENSG00000213398.7	LCAT
425	ENST00000272930.8	ENSP00000272930.4	ENSG00000184182.18	UBE2F
429	ENST00000337843.6	ENSP00000338812.2	ENSG00000133466.13	C1QTNF6
430	ENST00000343818.10	ENSP00000342502.6	ENSG00000143811.18	PYCR2
431	ENST00000272395.2	ENSP00000272395.2	ENSG00000144015.4	TRIM43
433	ENST00000371442.3	ENSP00000360497.2	ENSG00000125352.5	RNF113A
435	ENST00000622259.4	ENSP00000483613.1	ENSG00000147164.11	SNX12
436	ENST00000451739.6	ENSP00000394259.2	ENSG00000109854.13	HTATIP2
439	ENST00000392827.2	ENSP00000376572.1	ENSG00000212864.3	RNF208
440	ENST00000250237.9	ENSP00000250237.4	ENSG00000213339.8	QTRT1
442	ENST00000396394.6	ENSP00000379676.2	ENSG00000129084.17	PSMA1
443	ENST00000283006.6	ENSP00000283006.2	ENSG00000153044.9	CENPH
444	ENST00000442925.5	ENSP00000396150.1	ENSG00000144648.15	ACKR2
446	ENST00000337573.9	ENSP00000337675.5	ENSG00000147654.14	EBAG9
448	ENST00000552002.6	ENSP00000450144.2	ENSG00000258289.8	CHURC1
450	ENST00000206544.8	ENSP00000206544.8	ENSG00000092096.16	SLC22A17
451	ENST00000242784.4	ENSP00000242784.3	ENSG00000123144.10	TRIR
452	ENST00000273368.8	ENSP00000273368.4	ENSG00000144834.13	TAGLN3
453	ENST00000318911.4	ENSP00000317159.4	ENSG00000179091.4	CYC1
454	ENST00000371579.6	ENSP00000360635.2	ENSG00000176978.13	DPP7
455	ENST00000313695.11	ENSP00000315325.7	ENSG00000116584.17	ARHGEF2
457	ENST00000394957.7	ENSP00000378409.3	ENSG00000107738.19	VSIR
458	ENST00000432792.6	ENSP00000429275.1	ENSG00000179178.10	TMEM125
459	ENST00000621772.4	ENSP00000484117.1	ENSG00000130024.14	PHF10
460	ENST00000372208.7	ENSP00000361282.3	ENSG00000130717.12	UCK1
464	ENST00000367874.4	ENSP00000356848.4	ENSG00000152382.5	TADA1
465	ENST00000314392.12	ENSP00000322181.8	ENSG00000136908.17	DPM2
466	ENST00000309099.6	ENSP00000309782.6	ENSG00000172935.8	MRGPRF
467	ENST00000565691.5	ENSP00000457354.1	ENSG00000103154.9	NECAB2
468	ENST00000374514.7	ENSP00000363638.3	ENSG00000011009.10	LYPLA2
469	ENST00000322522.8	ENSP00000325423.4	ENSG00000151689.12	INPP1
470	ENST00000248041.12	ENSP00000248041.6	ENSG00000171903.16	CYP4F11
471	ENST00000261615.5	ENSP00000261615.4	ENSG00000015413.9	DPEP1
473	ENST00000241393.3	ENSP00000241393.3	ENSG00000121966.6	CXCR4
474	ENST00000265896.9	ENSP00000265896.5	ENSG00000104549.11	SQLE
475	ENST00000599218.5	ENSP00000470248.1	ENSG00000012211.12	PRICKLE3
476	ENST00000344924.7	ENSP00000342032.3	ENSG00000172331.11	BPGM
478	ENST00000376734.3	ENSP00000365924.3	ENSG00000204616.10	TRIM31
480	ENST00000475134.1	ENSP00000418059.1	ENSG00000036054.12	TBC1D23
